Name,mjd_peak,band_peak,isupperlimit
2010jl,55487,V,0
2008aw,54528,B,0
2009ig,55079.3107155547,B,0
1999el,51485.6757463686,B,0
2014C,56668.6559015949,B,0
iPTF14atg,56798.082764132,B,0
2010ae,55252,B,0
2013fs,56575.8076165291,B,0
2011fe,55814.8564557435,B,0
2008es,54600,B,0
2012aw,56010.7442939999,B,0
2009iz,55100.9323969856,B,0
2012cg,56081.6794259454,B,0
2005gj,53660.3401959689,g',0
2008aq,54530.2812499765,B,0
2007ke,54366.4831693866,R,0
2016fnl,57631.0422405448,g,0
2012fr,56243.0366633461,B,0
2010et,55355.435932605,g,0
Gaia16apd,57547.1636159563,B,0
PS1-12sk,56013,g,0
2016esw,57613.6993591156,B,0
2010al,55281.1832611801,B,0
iPTF14bdn,56822.3911543349,B,0
2009Y,54875.6443324066,B,0
2016hgs,57681,g,0
SN2010gx,55279.6344975706,B,0
2012ht,56295.1908106931,B,0
PTF09dav,55053.6911240756,R,0
2005hk,53683.9049643873,B,0
2009kr,55145.2316234415,B,0
2006aj,53784,B,0
2010X,55239.7696225056,r,0
iPTF13ajg,56404.7994225954,R,0
2012Z,55966.8117533206,B,0
2016bkv,57474.5414659432,B,0
1994D,49431.8024541304,B,0
2013fs,56575.8076165291,B,0
2006fo,54008,V,0
2011ke,55679.9439704746,V,0
2008D,54488.5667521228,B,0
2017egm,57925.5840952998,B,0
2017erp,57934.9159437337,B,0
2007C,54115,B,0
2007sr,54450,B,1
2006gy,54034.8998260016,R,0
LSQ14mo,56697,r,0
2008ax,54546.2321482847,B,0
2011dh,55729.3541238184,B,0
2015bn,57098.6553710773,B,0
PTF10ops,55398,g,0
2018bsz,58267,r,0
2012ca,56052,R,1
PTF11kx,55590,B,0
2016bkv,57474.5414659432,B,0
2013ej,56507.608217682,B,0
2011hw,55903.4245502448,B,0
iPTF15eqv,-1,-,0
PTF12bho,55990,r,0
2019bkc,58546.9,g,0
PTF11kmb,55800,r,0
2012hn,56032,V,0
2005E,53387,V,0
SN2007bi,54145,V,0
PTF10nmn,-1,-,0
PTF10bfz,55250,B,1
iPTF13ehe,56667,g,0
LSQ14an,56660,V,1
PTF12dam,56090,B,0
2012il,55978,g,1
PTF09cnd,55084,u,0
PTF10aagc,-1,-,0
2013cu,56422,V,0
2012dy,-1,-,0
2011fu,55846,B,0
1993J,49094,B,0
2013df,56467,B,0
2001ig,-1,-,0
PS15bgt,57200,B,1
1996cb,50450,B,0
2003jd,52943,B,0
PTF10vgv,55464,R,0
2018gep,58376,V,0
2002ap,52311,B,0
2014cp,-1,-,0
2003dh,52727,B,1
1998bw,50942,B,0
2002ic,52605,B,0
2018cxk,-1,-,0
2002cx,52417,B,0
2005bl,53483,B,0
2016ije,-1,-,0
1999by,51308,B,0
2015ac,-1,-,0
1991bg,-1,-,0
2005bf,53498,B,0
2004gq,53357,B,0
2015ah,57241,B,0
2006ep,53986,B,0
2004ao,53075,B,1
2005ek,53640,B,0
PISN,-1,-,0
2013dy,56500,B,0
2011by,55690,B,0
2012cu,-1,-,0
2015N,57221,B,0
2008fq,54728,B,0
ASASSN-15og,57250,B,1
2002bu,52367,B,0
2005cp,53559,B,0
2000eo,51875,B,0
2013U,-1,-,0
1991T,48375,B,0
2017pp,57781,B,1
2018hfr,-1,-,0
2019ofm,58722,r,0
2016hnk,57690,B,0
2019hge,58695.22,g,0
2002bj,52334,B,1
ASASSN-14ae,56693,B,1
2019ahk,-1,-,0
2018hyz,58432,B,1
ASASSN-15oi,57248,B,1
PS1-10jh,55389,g,0
1999aa,51232,B,0
PTF10tpz,-1,-,0
PTF10jwd,-1,-,0
PTF10fel,55290,R,0
PTF10qaf,-1,-,0
PTF10scc,55428,R,0
iPTF16axa,57537,B,1
ASASSN-14li,56983.6,B,1
2019qiz,58763,g,0
2018dyb,58340,B,0
AT2018cow,58315,B,1
2007J,54123,V,1
2013bh,56385,V,0
2000cx,51753,B,0
CSS121015,56226,B,0
2013hx,56709,B,0
2017ifu,-1,-,0
2016iks,-1,-,0
2017eby,-1,-,0
2019fcg,-1,-,0
2020agp,-1,-,0
2019ahd,58523,g,1
2000ch,-1,-,0
2013cu,56418,U,0
2009dc,54946,B,0
2006gz,54021,B,0
2012dn,56133,B,0
2007if,54357,B,0
2002es,52518,B,0
PTF10acdh,-1,-,0
iPTF14flu,-1,-,0
2014cn,56771,B,1
iPTF15crj,-1,-,0
2006jc,54021,B,1
2005la,53710,B,1
PTF11rfh,55911,r,0
2015G,57107,B,1
2010md,55369,B,0
2018hna,58501,B,0
2002hh,52581,V,1
1999br,51286,B,1
2007od,54411,B,1
1999em,51482,B,1
2003ed,-1,-,0
2003gd,52807,B,1
1987a,46855,B,1
2014G,56678,B,0
2017be,57763,B,1
2015dl,-1,-,0
PTF10fqs,55313,g,1
2019abn,58530,B,0
2004gt,53356,B,1
2014L,56693,B,0
1994I,49449,B,0
2007ce,54227,B,1
2004dn,53223,B,0
2004gk,53338,B,1
2013ek,-1,-,0
2007gr,54336,B,0
2013fs_early,56575.8076165291,B,0
2014G_early,56678,B,0
2016bkv_early,57474.5414659432,B,0
iPTF15crj_early,-1,-,0
2014cn_early,56771,B,1
2019vqd_early,-1,-,0
iPTF14flu_early,-1,-,0
2013cu_early,56422,V,0
